ID,Gender,Age,Customer Type,Type of Travel,Class,Flight Distance,Departure Delay,Arrival Delay,Check-in Service,Online Boarding,Gate Location,On-board Service,Seat Comfort,Cleanliness,Food and Drink,Baggage Handling,Satisfaction
1,Male,48,First-time,Business,Business,821,2,5.0,4,3,3,3,5,5,5,5,Neutral or Dissatisfied
2,Female,35,Returning,Business,Business,821,26,39.0,3,5,2,5,4,5,3,5,Satisfied
3,Male,41,Returning,Business,Business,853,0,0.0,4,5,4,3,5,5,5,3,Satisfied
4,Male,50,Returning,Business,Business,1905,0,0.0,3,4,2,5,5,4,4,5,Satisfied
5,Female,49,Returning,Business,Business,3470,0,1.0,3,5,3,3,4,5,4,3,Satisfied
6,Male,43,Returning,Business,Business,3788,0,0.0,3,5,4,4,4,3,3,4,Satisfied
7,Male,43,Returning,Business,Business,1963,0,0.0,4,4,3,5,5,4,5,5,Satisfied
8,Female,60,Returning,Business,Business,853,0,3.0,3,4,4,3,4,4,4,3,Satisfied
9,Male,50,Returning,Business,Business,2607,0,0.0,3,2,1,4,3,3,3,4,Neutral or Dissatisfied
10,Female,38,Returning,Business,Business,2822,13,0.0,3,5,2,5,4,4,2,5,Satisfied
11,Female,28,First-time,Business,Business,821,0,5.0,3,1,3,2,2,2,2,3,Neutral or Dissatisfied
12,Female,27,First-time,Business,Business,421,20,21.0,1,2,4,2,2,1,1,4,Neutral or Dissatisfied
13,Male,24,First-time,Business,Economy,453,16,30.0,2,2,4,2,5,5,5,4,Neutral or Dissatisfied
14,Male,9,Returning,Personal,Business,853,68,76.0,5,1,2,4,5,5,5,4,Neutral or Dissatisfied
15,Male,52,Returning,Personal,Economy,853,0,0.0,3,2,4,3,2,2,2,5,Neutral or Dissatisfied
16,Male,70,Returning,Personal,Economy,821,0,0.0,4,2,1,4,5,5,5,4,Neutral or Dissatisfied
17,Female,48,Returning,Personal,Economy,821,0,0.0,5,5,3,5,1,2,1,5,Neutral or Dissatisfied
18,Female,61,Returning,Personal,Economy,821,0,0.0,5,1,1,5,5,1,4,5,Neutral or Dissatisfied
19,Female,11,Returning,Personal,Economy,853,0,0.0,5,3,2,3,5,5,5,4,Neutral or Dissatisfied
20,Female,42,Returning,Personal,Economy,821,4,0.0,3,3,4,1,4,3,1,1,Neutral or Dissatisfied
21,Female,14,Returning,Personal,Economy,853,12,1.0,4,3,3,1,4,4,4,2,Neutral or Dissatisfied
22,Female,70,Returning,Personal,Economy,853,0,0.0,4,4,2,1,4,4,2,1,Neutral or Dissatisfied
23,Female,56,Returning,Personal,Economy,821,0,0.0,4,4,3,5,3,4,3,5,Neutral or Dissatisfied
24,Male,77,Returning,Business,Economy Plus,821,0,0.0,1,4,5,4,4,4,4,3,Neutral or Dissatisfied
